Cliente;Endereço;Período;Produto;"Nº Caçamba";"Data Retirar"
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;1090;16/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;1091;16/04/2021
Amanda;"Rua Sete, 23, Parque Camboriú, São Bernardo do Campo";Dia;Caixas;6;09/04/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Noite;Caixas;4;09/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;5;09/04/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Noite;Caixas;3;09/04/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Noite;Caixas;4;09/04/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Noite;Caixas;3;09/04/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Dia;Caixas;1;09/04/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Noite;Caixas;3;09/04/2021
Amanda;"Rua Alessandro Bandettini, 321, Quebrada, Itu";Dia;Basculante;;08/04/2021
Amanda;"Rua Alessandro Bandettini, 321, Quebrada, Itu";Dia;Basculante;;08/04/2021
"Louro José";"Rua Garcia Lorca, 323, teste, Jardim Trussardi, São Paulo";Dia;Bobkaet;1095;06/04/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Dia;Caixas;2;06/04/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Dia;Caixas;3;06/04/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Dia;Caixas;4;06/04/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Dia;Caixas;2;06/04/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Dia;Caixas;3;06/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;459;06/04/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Dia;Caixas;505;06/04/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Dia;Caixas;505;06/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Basculante;;05/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Basculante;;05/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Basculante;;05/04/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Dia;Caixas;2;05/04/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Dia;Caixas;2;05/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;459;05/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;459;05/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;459;05/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;459;05/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;459;05/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;459;05/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;459;05/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;459;05/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;459;05/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;459;05/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;459;05/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;459;05/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;459;05/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;459;05/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;459;05/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;459;05/04/2021
Amanda;"Rua Aleixo Leme dos Reis, 100, Jardim Consórcio, São Paulo";Dia;Basculante;;03/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Basculante;;01/04/2021
Amanda;"Rua Aleixo Leme dos Reis, 100, Jardim Consórcio, São Paulo";Dia;Basculante;;31/03/2021
Amanda;"Rua Aleixo Leme dos Reis, 100, Jardim Consórcio, São Paulo";Dia;Basculante;;31/03/2021
Amanda;"Rua Aleixo Leme dos Reis, 100, Jardim Consórcio, São Paulo";Dia;Basculante;;30/03/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Noite;Caixas;3;29/03/2021
Amanda;"Rua Sete, 23, Parque Camboriú, São Bernardo do Campo";Dia;Basculante;;26/03/2021
Amanda;"Rua Sete, 23, Parque Camboriú, São Bernardo do Campo";Dia;Basculante;;26/03/2021
Amanda;"Rua Sete, 23, Parque Camboriú, São Bernardo do Campo";Dia;Basculante;;26/03/2021
Amanda;"Rua Sete, 23, Parque Camboriú, São Bernardo do Campo";Dia;Basculante;;26/03/2021
Amanda;"Rua Sete, 23, Parque Camboriú, São Bernardo do Campo";Dia;Basculante;;26/03/2021
Amanda;"Rua Sete, 23, Parque Camboriú, São Bernardo do Campo";Dia;Caixas;588;05/03/2021
Amanda;"Rua Sete, 23, Parque Camboriú, São Bernardo do Campo";Dia;Caixas;578;05/03/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Noite;Caixas;3;01/03/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Noite;Caixas;3;01/03/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Noite;Caixas;3;01/03/2021
Amanda;"Rua Alessandro Bandettini, 321, Quebrada, Itu";Noite;Basculante;1;26/02/2021
Amanda;"Rua Alessandro Bandettini, 321, Quebrada, Itu";Noite;Basculante;5;05/10/2020
Amanda;"Rua Alessandro Bandettini, 321, Quebrada, Itu";Noite;Basculante;7;05/10/2020
Amanda;"Rua Alessandro Bandettini, 321, Quebrada, Itu";Noite;Basculante;550;02/10/2020
Amanda;"Rua Alessandro Bandettini, 321, Quebrada, Itu";Noite;Basculante;548;02/10/2020
Amanda;"Rua Alessandro Bandettini, 321, Quebrada, Itu";Noite;Basculante;549;02/10/2020
Amanda;"Rua Alessandro Bandettini, 321, Quebrada, Itu";Noite;Basculante;6;01/10/2020
"Luiz Construção";"Rua José Rubens, 322, teste, Caxingui, São Paulo";Dia;Bobkaet;1;30/09/2020
"Luiz Construção";"Rua José Rubens, 322, teste, Caxingui, São Paulo";Dia;Bobkaet;1;25/09/2020
Amanda;"Rua dos Inocentes, 50, Socorro, São Paulo";Dia;Basculante;1;24/09/2020
Amanda;"Rua dos Inocentes, 50, Socorro, São Paulo";Dia;Basculante;1;24/09/2020
Amanda;"Rua dos Inocentes, 50, Socorro, São Paulo";Dia;Basculante;1;24/09/2020
Amanda;"Rua dos Inocentes, 50, Socorro, São Paulo";Dia;Basculante;1;24/09/2020
Amanda;"Rua dos Inocentes, 50, Socorro, São Paulo";Dia;Basculante;1;24/09/2020
"Luiz Construção";"Rua José Rubens, 322, teste, Caxingui, São Paulo";Dia;Bobkaet;2;23/09/2020
"Luiz Construção";"Rua José Rubens, 322, teste, Caxingui, São Paulo";Dia;Bobkaet;1;21/09/2020
"Luiz Construção";"Rua José Rubens, 322, teste, Caxingui, São Paulo";Noite;Bobkaet;1;21/09/2020
"Nicolas Gustavo Luís da Rocha";"Rua Santana do Deserto, 54, Capano, Guarulhos";Dia;Basculante;5;17/08/2020
"Luiz Construção";"Rua José Rubens, 322, teste, Caxingui, São Paulo";Dia;Bobkaet;1;13/08/2020
"Luiz Construção";"Rua José Rubens, 322, teste, Caxingui, São Paulo";Dia;Bobkaet;145;13/08/2020
"Luiz Construção";"Rua José Rubens, 322, teste, Caxingui, São Paulo";Dia;Bobkaet;154;13/08/2020
"Luiz Construção";"Rua José Rubens, 322, teste, Caxingui, São Paulo";Dia;Bobkaet;154;13/08/2020
"Fábio e Valentina Limpeza Ltda";"Praça Maria das Neves Feijó, 501, Jardim da Rainha, Itapevi";Dia;Caixas;554;13/08/2020
"Fábio e Valentina Limpeza Ltda";"Praça Maria das Neves Feijó, 501, Jardim da Rainha, Itapevi";Dia;Caixas;554;13/08/2020
"Fábio e Valentina Limpeza Ltda";"Praça Maria das Neves Feijó, 501, Jardim da Rainha, Itapevi";Dia;Caixas;545;13/08/2020
"Fábio e Valentina Limpeza Ltda";"Praça Maria das Neves Feijó, 501, Jardim da Rainha, Itapevi";Dia;Caixas;4;13/08/2020
"Fábio e Valentina Limpeza Ltda";"Praça Maria das Neves Feijó, 501, Jardim da Rainha, Itapevi";Dia;Caixas;554;13/08/2020
"Nicolas Gustavo Luís da Rocha";"Rua Santana do Deserto, 54, Capano, Guarulhos";Noite;Basculante;3;13/08/2020
"Nicolas Gustavo Luís da Rocha";"Rua Santana do Deserto, 54, Capano, Guarulhos";Noite;Basculante;4;13/08/2020
"Fábio e Valentina Limpeza Ltda";"Praça Maria das Neves Feijó, 47, Jardim da Rainha, Itapevi";Dia;Bobkaet;18;15/07/2020
"Fábio e Valentina Limpeza Ltda";"Praça Maria das Neves Feijó, 47, Jardim da Rainha, Itapevi";Dia;Bobkaet;18;15/07/2020
"Fábio e Valentina Limpeza Ltda";"Praça Maria das Neves Feijó, 47, Jardim da Rainha, Itapevi";Dia;Bobkaet;18;15/07/2020
"Fábio e Valentina Limpeza Ltda";"Praça Maria das Neves Feijó, 47, Jardim da Rainha, Itapevi";Dia;Bobkaet;18;15/07/2020
"Fábio e Valentina Limpeza Ltda";"Praça Maria das Neves Feijó, 47, Jardim da Rainha, Itapevi";Dia;Bobkaet;18;15/07/2020
"Fábio e Valentina Limpeza Ltda";"Praça Maria das Neves Feijó, 47, Jardim da Rainha, Itapevi";Dia;Bobkaet;18;15/07/2020
"Fábio e Valentina Limpeza Ltda";"Praça Maria das Neves Feijó, 47, Jardim da Rainha, Itapevi";Dia;Bobkaet;18;15/07/2020
"Fábio e Valentina Limpeza Ltda";"Praça Maria das Neves Feijó, 47, Jardim da Rainha, Itapevi";Dia;Bobkaet;18;15/07/2020
"Fábio e Valentina Limpeza Ltda";"Praça Maria das Neves Feijó, 47, Jardim da Rainha, Itapevi";Dia;Bobkaet;18;15/07/2020
Amanda;"Rua Sete, 23, Parque Camboriú, São Bernardo do Campo";Dia;Caixas;18;15/07/2020
Amanda;"Rua Sete, 23, Parque Camboriú, São Bernardo do Campo";Dia;Caixas;18;15/07/2020
Amanda;"Rua Sete, 23, Parque Camboriú, São Bernardo do Campo";Dia;Caixas;18;15/07/2020
Amanda;"Rua Sete, 23, Parque Camboriú, São Bernardo do Campo";Dia;Caixas;18;15/07/2020
"Fábio e Valentina Limpeza Ltda";"Praça Maria das Neves Feijó, 47, Jardim da Rainha, Itapevi";Dia;Bobkaet;317;14/07/2020
"Fábio e Valentina Limpeza Ltda";"Praça Maria das Neves Feijó, 47, Jardim da Rainha, Itapevi";Dia;Bobkaet;317;14/07/2020
"Fábio e Valentina Limpeza Ltda";"Praça Maria das Neves Feijó, 47, Jardim da Rainha, Itapevi";Dia;Bobkaet;317;14/07/2020
"Luiz Construção";"Rua José Rubens, 322, teste, Caxingui, São Paulo";Dia;Bobkaet;1;15/06/2020
"Luiz Construção";"Rua José Rubens, 322, teste, Caxingui, São Paulo";Dia;Bobkaet;3;15/06/2020
"Luiz Construção";"Rua José Rubens, 322, teste, Caxingui, São Paulo";Dia;Bobkaet;1;15/06/2020
"Luiz Construção";"Rua José Rubens, 322, teste, Caxingui, São Paulo";Dia;Bobkaet;3;15/06/2020
"Luiz Construção";"Rua José Rubens, 322, teste, Caxingui, São Paulo";Dia;Bobkaet;5;15/06/2020
"Luiz Construção";"Rua José Rubens, 322, teste, Caxingui, São Paulo";Dia;Bobkaet;7;15/06/2020
"Luiz Construção";"Rua José Rubens, 322, teste, Caxingui, São Paulo";Dia;Bobkaet;9;15/06/2020
"Miguel ramos";"Rua João Pizarro Gabizo, 12, Santana, São Paulo";Dia;Bobkaet;;15/06/2020
"Miguel ramos";"Rua João Pizarro Gabizo, 12, Santana, São Paulo";Dia;Bobkaet;;15/06/2020
"Miguel ramos";"Rua João Pizarro Gabizo, 12, Santana, São Paulo";Dia;Bobkaet;;15/06/2020
"Miguel ramos";"Rua João Pizarro Gabizo, 12, Santana, São Paulo";Dia;Bobkaet;;15/06/2020
"Miguel ramos";"Rua João Pizarro Gabizo, 12, Santana, São Paulo";Dia;Bobkaet;;15/06/2020
"Louro José";"Rua Garcia Lorca, 323, teste, Jardim Trussardi, São Paulo";Dia;Bobkaet;;10/06/2020
"Louro José";"Rua Garcia Lorca, 323, teste, Jardim Trussardi, São Paulo";Dia;Bobkaet;;10/06/2020
"Louro José";"Rua Garcia Lorca, 323, teste, Jardim Trussardi, São Paulo";Dia;Bobkaet;;10/06/2020
"Louro José";"Rua Garcia Lorca, 323, teste, Jardim Trussardi, São Paulo";Dia;Bobkaet;;10/06/2020
"Louro José";"Rua Garcia Lorca, 323, teste, Jardim Trussardi, São Paulo";Dia;Bobkaet;;10/06/2020
